date,isin,price
2026-01-14,BTC,96929.3281
2026-01-14,CRO,0.1037
2026-01-14,ETH,3354.7227
2026-01-14,GB00BP6MXD84,31.7
2023-12-18,GLP,1.151
2026-01-15,GM-BTC,2.557
2026-01-15,GM-ETH,2.0184
2026-01-14,IE0009HF1MK9,12.0956
2026-01-14,IE00B3FH7618,99.48
2026-01-13,LU0792910217,112.5
2026-01-13,LU0940007189,296.84
2026-01-14,NEXO,0.979
2026-01-14,NL0010273215,1084.2
2026-01-13,NL0011225305,28.6477
2026-01-13,NL0011354865,147.77
2026-01-13,NL0011354873,225.16
2026-01-13,NL0011354972,166.48
2026-01-13,NL0011515424,18.1837
2026-01-14,NL0011872643,61.06
2026-01-13,NL0011896998,247.52
2026-01-13,NL0013552078,17.0792
2026-01-14,US45841N1072,71.35
2026-01-14,USD_EUR,0.8589
