Date,Price
2026-06-17,4.64
2026-06-16,4.65
2026-06-15,4.66
2026-06-12,4.64
2026-06-11,4.52
2026-06-10,4.52
2026-06-09,4.52
2026-06-08,4.52
2026-06-05,4.54
2026-06-04,4.58
2026-06-03,4.53
2026-06-02,4.53
2026-06-01,4.5
2026-05-29,4.52
2026-05-28,4.53
2026-05-27,4.54
2026-05-26,4.53
2026-05-25,4.53
2026-05-22,4.48
2026-05-21,4.43
2026-05-20,4.43
2026-05-19,4.39
2026-05-18,4.41
2026-05-15,4.42
2026-05-14,4.48
2026-05-13,4.44
2026-05-12,4.39
2026-05-11,4.46
2026-05-08,4.47
2026-05-07,4.46
2026-05-06,4.46
2026-05-05,4.4
2026-05-04,4.35
2026-04-30,4.34
2026-04-29,4.3
2026-04-28,4.31
2026-04-27,4.31
2026-04-24,4.31
2026-04-23,4.31
2026-04-22,4.31
2026-04-21,4.31
2026-04-20,4.33
2026-04-17,4.32
2026-04-16,4.23
2026-04-15,4.22
2026-04-14,4.26
2026-04-13,4.22
