Date,Price
2023-01-18,1528.2201
2023-01-17,1580.8835
2023-01-16,1589.7646
2023-01-15,1565.1982
2023-01-14,1563.1851
2023-01-13,1463.0288
2023-01-12,1428.9474
2023-01-11,1398.5334
2023-01-10,1346.5866
2023-01-09,1331.7047
2023-01-08,1297.0711
2023-01-07,1274.0474
2023-01-06,1279.1142
2023-01-05,1259.9103
2023-01-04,1265.9092
2023-01-03,1223.9651
2023-01-02,1223.7023
2023-01-01,1209.8328
2022-12-31,1205.6843
2022-12-30,1207.3592
2022-12-29,1209.6635
2022-12-28,1197.8044
2022-12-27,1220.6887
2022-12-26,1235.1152
2022-12-25,1226.9826
2022-12-24,1229.1221
2022-12-23,1228.0615
2022-12-22,1226.0336
2022-12-21,1221.4253
2022-12-20,1225.4746
2022-12-19,1174.9964
2022-12-18,1192.1482
2022-12-17,1195.5256
2022-12-16,1175.4672
2022-12-15,1274.1174
2022-12-14,1317.2874
2022-12-13,1328.4871
2022-12-12,1282.1709
2022-12-11,1271.3076
2022-12-10,1273.7165
2022-12-09,1271.6716
2022-12-08,1288.8401
2022-12-07,1239.5596
2022-12-06,1279.0269
2022-12-05,1266.8358
2022-12-04,1287.7329
2022-12-03,1250.6011
2022-12-02,1301.9076
2022-12-01,1283.7909
2022-11-30,1303.5505
2022-11-29,1224.1689
2022-11-28,1176.9822
2022-11-27,1202.3534
2022-11-26,1213.2838
2022-11-25,1206.5163
2022-11-24,1211.5917
2022-11-23,1189.7984
2022-11-22,1141.2909
2022-11-21,1114.2392
2022-11-20,1148.0038
2022-11-19,1224.2466
2022-11-18,1218.1015
2022-11-17,1206.3482
2022-11-16,1221.2501
2022-11-15,1257.4857
2022-11-14,1247.5711
2022-11-13,1227.7986
2022-11-12,1260.9871
2022-11-11,1292.1522
2022-11-10,1304.5959
2022-11-09,1104.269
2022-11-08,1337.2585
2022-11-07,1573.0006
