Date,Price
2023-10-28,1793.1567
2023-10-27,1796.5679
2023-10-26,1820.7342
2023-10-25,1803.8921
2023-10-24,1800.8516
2023-10-23,1781.5766
2023-10-22,1678.6488
2023-10-21,1644.168
2023-10-20,1619.2637
2023-10-19,1581.6774
2023-10-18,1577.8866
2023-10-17,1579.5479
2023-10-16,1614.9209
2023-10-15,1572.0388
2023-10-14,1569.1628
2023-10-13,1565.9288
2023-10-12,1553.3033
2023-10-11,1580.1458
2023-10-10,1581.5813
2023-10-09,1593.7498
2023-10-08,1647.927
2023-10-07,1648.8574
2023-10-06,1660.235
2023-10-05,1625.5385
2023-10-04,1662.173
2023-10-03,1671.0499
2023-10-02,1678.0087
2023-10-01,1748.7554
2023-09-30,1685.526
2023-09-29,1682.2387
2023-09-28,1667.0065
2023-09-27,1611.1004
2023-09-26,1606.9489
2023-09-25,1601.7737
2023-09-24,1594.2028
2023-09-23,1607.2793
2023-09-22,1606.6441
2023-09-21,1597.5653
2023-09-20,1636.428
2023-09-19,1657.2112
2023-09-18,1650.9214
2023-09-17,1636.3133
2023-09-16,1648.7002
2023-09-15,1655.1302
2023-09-14,1640.3026
2023-09-13,1621.1209
2023-09-12,1605.3855
2023-09-11,1564.2231
2023-09-10,1629.9016
2023-09-09,1648.3411
2023-09-08,1649.2823
2023-09-07,1660.7893
2023-09-06,1645.2749
2023-09-05,1646.6186
2023-09-04,1642.5723
2023-09-03,1649.0574
2023-09-02,1649.9315
2023-09-01,1641.2789
2023-08-31,1658.5187
2023-08-30,1718.4084
2023-08-29,1743.1628
2023-08-28,1665.2506
2023-08-27,1670.3054
2023-08-26,1658.9696
2023-08-25,1665.6037
2023-08-24,1672.6216
2023-08-23,1692.053
2023-08-22,1646.2893
2023-08-21,1679.8661
2023-08-20,1697.538
2023-08-19,1681.9984
2023-08-18,1673.3429
2023-08-17,1697.4623
2023-08-16,1819.0337
2023-08-15,1840.4145
2023-08-14,1857.749
2023-08-13,1852.7587
2023-08-12,1862.3916
2023-08-11,1860.5632
2023-08-10,1864.1681
2023-08-09,1867.6892
2023-08-08,1869.1565
2023-08-07,1840.0324
2023-08-06,1840.5116
2023-08-05,1848.042
2023-08-04,1840.6663
2023-08-03,1848.0904
2023-08-02,1852.0209
2023-08-01,1884.9124
2023-07-31,1869.0967
2023-07-30,1874.5562
2023-07-29,1894.0595
2023-07-28,1887.6401
2023-07-27,1873.1016
2023-07-26,1884.9306
2023-07-25,1870.3609
2023-07-24,1862.5158
2023-07-23,1901.9206
2023-07-22,1877.4265
2023-07-21,1904.7214
2023-07-20,1903.5483
2023-07-19,1901.521
2023-07-18,1910.1193
2023-07-17,1924.2032
2023-07-16,1936.2672
2023-07-15,1944.0524
2023-07-14,1951.9269
2023-07-13,2019.4722
2023-07-12,1884.1576
2023-07-11,1890.3665
2023-07-10,1892.5516
2023-07-09,1874.8418
2023-07-08,1877.3362
2023-07-07,1882.3774
2023-07-06,1860.2217
2023-07-05,1922.5129
2023-07-04,1948.667
2023-07-03,1967.4873
2023-07-02,1949.3758
2023-07-01,1936.3652
2023-06-30,1944.9829
2023-06-29,1863.4765
2023-06-28,1839.0201
2023-06-27,1901.0758
2023-06-26,1870.6591
2023-06-25,1911.9311
2023-06-24,1887.2937
2023-06-23,1904.1504
2023-06-22,1884.0627
2023-06-21,1902.1774
2023-06-20,1802.6564
2023-06-19,1747.8227
2023-06-18,1730.6013
2023-06-17,1737.2223
2023-06-16,1726.577
2023-06-15,1675.0446
2023-06-14,1659.9098
2023-06-13,1748.9326
2023-06-12,1752.3948
2023-06-11,1763.3002
2023-06-10,1762.1731
2023-06-09,1850.5081
2023-06-08,1856.5514
2023-06-07,1842.5251
2023-06-06,1894.8093
2023-06-05,1821.7392
2023-06-04,1900.7968
2023-06-03,1902.6523
2023-06-02,1917.5292
2023-06-01,1872.1628
2023-05-31,1884.0977
2023-05-30,1911.0737
2023-05-29,1903.0288
2023-05-28,1920.8794
2023-05-27,1840.6246
2023-05-26,1838.1184
2023-05-25,1815.2007
2023-05-24,1809.253
2023-05-23,1863.682
2023-05-22,1826.6533
2023-05-21,1813.517
