Date,Price
2026-02-14,2298.297
2026-02-13,2256.8962
2026-02-12,2144.8791
2026-02-11,2137.8179
2026-02-10,2224.6069
2026-02-09,2317.1111
2026-02-08,2300.699
2026-02-07,2302.556
2026-02-06,2272.5301
2026-02-05,2006.1754
2026-02-04,2360.4705
2026-02-03,2452.9156
2026-02-02,2581.4122
2026-02-01,2497.1705
2026-01-31,2692.0083
2026-01-30,2975.1348
2026-01-29,3102.5389
2026-01-28,3309.7684
2026-01-27,3326.795
2026-01-26,3221.243
2026-01-25,3099.4076
2026-01-24,3245.4717
2026-01-23,3250.294
2026-01-22,3246.1572
2026-01-21,3278.2137
2026-01-20,3230.4149
2026-01-19,3506.4725
2026-01-18,3610.3239
2026-01-17,3640.6372
2026-01-16,3625.7399
2026-01-15,3649.3507
2026-01-14,3690.5624
2026-01-13,3654.4915
2026-01-12,3401.5671
2026-01-11,3430.6185
2026-01-10,3390.3192
2026-01-09,3390.8699
2026-01-08,3414.1682
2026-01-07,3482.6919
2026-01-06,3624.4912
2026-01-05,3547.5397
2026-01-04,3453.4405
2026-01-03,3437.0068
2026-01-02,3435.1923
2026-01-01,3298.6635
2025-12-31,3261.8288
2025-12-30,3266.4791
2025-12-29,3225.7785
2025-12-28,3241.0398
2025-12-27,3240.2535
2025-12-26,3215.636
2025-12-25,3191.1146
2025-12-24,3237.1247
2025-12-23,3256.5067
2025-12-22,3303.2653
2025-12-21,3298.2004
2025-12-20,3271.6332
2025-12-19,3271.8962
2025-12-18,3105.9319
2025-12-17,3110.5381
2025-12-16,3256.2439
2025-12-15,3256.083
2025-12-14,3361.8245
2025-12-13,3423.2797
2025-12-12,3387.3904
2025-12-11,3555.1303
2025-12-10,3651.9624
2025-12-09,3647.0855
2025-12-08,3431.7697
2025-12-07,3361.4368
2025-12-06,3338.1108
2025-12-05,3320.6269
2025-12-04,3441.1008
2025-12-03,3503.7988
2025-12-02,3291.0537
2025-12-01,3073.8119
2025-11-30,3284.3211
2025-11-29,3283.6901
2025-11-28,3328.1073
2025-11-27,3308.4462
2025-11-26,3322.8382
2025-11-25,3245.9921
2025-11-24,3240.0991
2025-11-23,3074.2088
2025-11-22,3036.6756
2025-11-21,3034.4224
2025-11-20,3106.7093
2025-11-19,3316.3815
2025-11-18,3425.8098
2025-11-17,3317.6449
2025-11-16,3392.3976
2025-11-15,3473.1552
2025-11-14,3404.0525
2025-11-13,3545.3099
2025-11-12,3742.8965
2025-11-11,3745.1107
2025-11-10,3912.8814
2025-11-09,3928.212
2025-11-08,3728.2045
2025-11-07,3766.3059
2025-11-06,3631.2194
2025-11-05,3754.8184
2025-11-04,3609.2516
2025-11-03,3948.5696
2025-11-02,4286.7698
2025-11-01,4246.1458
2025-10-31,4216.2273
2025-10-30,4169.2158
2025-10-29,4277.4714
2025-10-28,4363.729
2025-10-27,4514.5719
2025-10-26,4555.8353
2025-10-25,4331.5362
2025-10-24,4310.6113
2025-10-23,4224.3548
2025-10-22,4171.6672
2025-10-21,4246.6427
2025-10-20,4360.341
2025-10-19,4364.3827
2025-10-18,4260.8786
2025-10-17,4197.3752
2025-10-16,4265.2689
2025-10-15,4366.5725
2025-10-14,4517.4095
2025-10-13,4648.6323
2025-10-12,4559.6589
2025-10-11,4106.3591
2025-10-10,4206.9426
2025-10-09,4782.6563
2025-10-08,4955.9109
2025-10-07,4871.9313
2025-10-06,5130.604
2025-10-05,4941.729
2025-10-04,4912.7822
2025-10-03,4940.6296
2025-10-02,4910.8959
2025-10-01,4760.9516
2025-09-30,4536.2469
2025-09-29,4614.1177
2025-09-28,4530.8904
2025-09-27,4396.3055
2025-09-26,4414.9148
2025-09-25,4231.4094
2025-09-24,4543.0803
2025-09-23,4556.0089
2025-09-22,4596.6473
2025-09-21,4868.126
2025-09-20,4901.7169
2025-09-19,4889.0538
2025-09-18,5018.9184
2025-09-17,5021.7374
2025-09-16,4923.9918
2025-09-15,4949.1682
2025-09-14,5039.4143
2025-09-13,5103.2005
2025-09-12,5154.3879
2025-09-11,4876.4686
2025-09-10,4753.7048
2025-09-09,4709.62
2025-09-08,4708.3223
2025-09-07,4705.1087
2025-09-06,4670.8808
2025-09-05,4706.4266
2025-09-04,4697.1697
2025-09-03,4862.6243
2025-09-02,4725.7699
2025-09-01,4713.6113
2025-08-31,4795.8896
2025-08-30,4778.3027
2025-08-29,4762.7646
2025-08-28,4923.1152
2025-08-27,4918.727
2025-08-26,5024.4538
2025-08-25,4775.7915
2025-08-24,5219.6324
2025-08-23,5215.484
2025-08-22,5275.5343
2025-08-21,4611.2369
2025-08-20,4732.5078
2025-08-19,4447.2761
2025-08-18,4708.0106
2025-08-17,4883.2686
2025-08-16,4831.6133
2025-08-15,4846.4318
2025-08-14,4964.214
2025-08-13,5191.0812
2025-08-12,5010.3313
2025-08-11,4612.8816
2025-08-10,4642.3795
2025-08-09,4652.3789
2025-08-08,4375.2622
2025-08-07,4270.8141
2025-08-06,4019.2202
2025-08-05,3940.4391
2025-08-04,4057.0574
2025-08-03,3815.1095
2025-08-02,3700.7647
2025-08-01,3804.8764
2025-07-31,4031.911
2025-07-30,4153.2984
2025-07-29,4136.9965
2025-07-28,4130.2075
2025-07-27,4225.7627
2025-07-26,4079.5926
2025-07-25,4063.976
2025-07-24,4042.7573
2025-07-23,3957.1696
2025-07-22,4087.1766
2025-07-21,4102.4648
2025-07-20,4097.9896
2025-07-19,3918.8029
2025-07-18,3868.1821
2025-07-17,3789.245
2025-07-16,3674.3003
2025-07-15,3421.6953
2025-07-14,3283.6251
2025-07-13,3239.8731
2025-07-12,3206.5336
2025-07-11,3222.6804
2025-07-10,3219.186
2025-07-09,3018.4867
2025-07-08,2849.185
2025-07-07,2770.0715
2025-07-06,2800.6701
2025-07-05,2741.7591
2025-07-04,2732.0776
2025-07-03,2821.7701
2025-07-02,2800.1992
2025-07-01,2619.7854
2025-06-30,2707.4915
2025-06-29,2723.1351
2025-06-28,2653.476
2025-06-27,2638.9229
2025-06-26,2630.3776
2025-06-25,2633.6817
2025-06-24,2664.7804
2025-06-23,2636.1312
2025-06-22,2425.246
2025-06-21,2503.7758
2025-06-20,2619.8851
2025-06-19,2744.1896
2025-06-18,2746.9245
2025-06-17,2732.0491
2025-06-16,2764.375
2025-06-15,2771.0131
2025-06-14,2756.3037
2025-06-13,2806.2521
2025-06-12,2884.7555
2025-06-11,3017.0179
2025-06-10,3060.3501
2025-06-09,2916.6102
2025-06-08,2730.7698
2025-06-07,2747.7222
2025-06-06,2693.9504
2025-06-05,2627.5647
2025-06-04,2836.5896
2025-06-03,2819.731
2025-06-02,2834.6011
2025-06-01,2757.4431
2025-05-31,2749.4934
2025-05-30,2750.2701
2025-05-29,2861.7646
2025-05-28,2915.473
2025-05-27,2894.506
2025-05-26,2786.8284
2025-05-25,2773.2326
2025-05-24,2750.1389
2025-05-23,2745.4207
2025-05-22,2894.9069
2025-05-21,2773.2546
2025-05-20,2742.4936
2025-05-19,2747.7627
2025-05-18,2713.9948
2025-05-17,2689.4372
2025-05-16,2755.0584
2025-05-15,2766.3745
2025-05-14,2834.8739
2025-05-13,2910.8112
2025-05-12,2711.111
2025-05-11,2725.9865
2025-05-10,2804.2046
2025-05-09,2546.7947
2025-05-08,2395.7121
2025-05-07,1966.8394
2025-05-06,1970.5156
2025-05-05,1975.4162
2025-05-04,1963.2599
2025-05-03,1990.562
2025-05-02,2000.0843
2025-05-01,1996.1944
2025-04-30,1946.7642
2025-04-29,1952.5233
2025-04-28,1952.0648
2025-04-27,1945.466
2025-04-26,1976.8485
2025-04-25,1938.4999
2025-04-24,1920.1645
2025-04-23,1948.5584
2025-04-22,1906.3779
2025-04-21,1713.6245
2025-04-20,1721.9718
2025-04-19,1749.4412
2025-04-18,1723.3226
2025-04-17,1716.3163
2025-04-16,1711.4052
2025-04-15,1722.7267
2025-04-14,1759.649
2025-04-13,1731.2648
2025-04-12,1781.9575
2025-04-11,1699.0504
2025-04-10,1650.5618
2025-04-09,1808.2041
2025-04-08,1596.1887
2025-04-07,1685.717
2025-04-06,1708.7631
2025-04-05,1957.1042
2025-04-04,1967.1434
2025-04-03,1967.3619
2025-04-02,1945.2266
2025-04-01,2064.4945
2025-03-31,1975.5327
2025-03-30,1956.7279
2025-03-29,1979.4818
2025-03-28,2053.2301
2025-03-27,2168.849
2025-03-26,2176.133
2025-03-25,2239.4581
2025-03-24,2249.8615
2025-03-23,2171.5801
2025-03-22,2144.1133
2025-03-21,2127.5541
2025-03-20,2146.1211
2025-03-19,2227.9037
2025-03-18,2092.2285
2025-03-17,2086.1171
2025-03-16,2043.1756
