Date,Price
2026-02-14,2223.0319
2026-02-13,2183.0141
2026-02-12,2074.6897
2026-02-11,2067.8856
2026-02-10,2151.8623
2026-02-09,2241.3691
2026-02-08,2225.5209
2026-02-07,2227.3462
2026-02-06,2198.3297
2026-02-05,1940.7116
2026-02-04,2283.4767
2026-02-03,2372.9374
2026-02-02,2497.2751
2026-02-01,2415.812
2026-01-31,2604.3518
2026-01-30,2878.2955
2026-01-29,3001.5914
2026-01-28,3202.1173
2026-01-27,3218.6295
2026-01-26,3116.5482
2026-01-25,2998.7105
2026-01-24,3140.0681
2026-01-23,3144.7726
2026-01-22,3140.8093
2026-01-21,3171.8658
2026-01-20,3125.6579
2026-01-19,3392.807
2026-01-18,3493.3377
2026-01-17,3522.7141
2026-01-16,3508.3449
2026-01-15,3531.2372
2026-01-14,3571.1618
2026-01-13,3536.3045
2026-01-12,3291.6028
2026-01-11,3319.7583
2026-01-10,3280.8041
2026-01-09,3281.3805
2026-01-08,3303.9705
2026-01-07,3370.3273
2026-01-06,3507.5989
2026-01-05,3433.1753
2026-01-04,3342.1541
2026-01-03,3326.2941
2026-01-02,3324.5829
2026-01-01,3192.4933
2025-12-31,3156.8868
2025-12-30,3161.4305
2025-12-29,3122.081
2025-12-28,3136.894
2025-12-27,3136.175
2025-12-26,3112.3899
2025-12-25,3088.6977
2025-12-24,3133.2735
2025-12-23,3152.0762
2025-12-22,3197.3787
2025-12-21,3192.5193
2025-12-20,3166.8458
2025-12-19,3167.1434
2025-12-18,3006.537
2025-12-17,3011.0367
2025-12-16,3152.1241
2025-12-15,3152.0113
2025-12-14,3254.4163
2025-12-13,3313.952
2025-12-12,3279.2529
2025-12-11,3441.684
2025-12-10,3535.4737
2025-12-09,3530.8002
2025-12-08,3322.3943
2025-12-07,3254.3474
2025-12-06,3231.8076
2025-12-05,3214.9235
2025-12-04,3331.6074
2025-12-03,3392.3529
2025-12-02,3186.4194
2025-12-01,2976.1257
2025-11-30,3179.9892
2025-11-29,3179.421
2025-11-28,3222.4716
2025-11-27,3203.4783
2025-11-26,3217.4588
2025-11-25,3143.0925
2025-11-24,3137.4288
2025-11-23,2976.8353
2025-11-22,2940.5306
2025-11-21,2938.3907
2025-11-20,3008.4457
2025-11-19,3211.5371
2025-11-18,3317.5515
2025-11-17,3212.8519
2025-11-16,3285.2897
2025-11-15,3363.543
2025-11-14,3296.6669
2025-11-13,3433.5185
2025-11-12,3624.9238
2025-11-11,3627.117
2025-11-10,3789.6547
2025-11-09,3804.5545
2025-11-08,3610.8912
2025-11-07,3647.8439
2025-11-06,3517.0557
2025-11-05,3636.8183
2025-11-04,3495.8811
2025-11-03,3824.595
2025-11-02,4152.2381
2025-11-01,4112.9434
2025-10-31,4084.0184
2025-10-30,4038.536
2025-10-29,4143.455
2025-10-28,4227.0668
2025-10-27,4373.2442
2025-10-26,4413.2764
2025-10-25,4196.0518
2025-10-24,4175.8378
2025-10-23,4092.3332
2025-10-22,4041.3471
2025-10-21,4114.0383
2025-10-20,4224.2442
2025-10-19,4228.2174
2025-10-18,4127.999
2025-10-17,4066.5319
2025-10-16,4132.3679
2025-10-15,4230.5732
2025-10-14,4376.7734
2025-10-13,4503.9745
2025-10-12,4417.8325
2025-10-11,3978.6878
2025-10-10,4076.2965
2025-10-09,4634.1964
2025-09-09,4565.3403
2025-09-08,4564.1453
2025-09-07,4561.0925
2025-09-06,4527.9743
2025-09-05,4562.4959
2025-09-04,4553.5875
2025-09-03,4714.0495
2025-09-02,4581.4428
2025-09-01,4569.7228
2025-08-31,4649.5581
2025-08-30,4632.5751
2025-08-29,4617.5755
2025-08-28,4773.1042
2025-08-27,4768.917
2025-08-26,4871.4914
2025-08-25,4630.4681
2025-08-24,5060.8765
2025-08-23,5056.9241
2025-08-22,5115.226
2025-08-21,4471.1802
2025-08-20,4588.8326
2025-08-19,4312.3201
2025-08-18,4565.2066
2025-08-17,4735.2156
2025-08-16,4685.192
2025-08-15,4699.6289
2025-08-14,4813.9224
2025-08-13,5033.9951
2025-08-12,4858.7897
2025-08-11,4473.4253
2025-08-10,4502.0953
2025-08-09,4511.8555
2025-08-08,4243.1694
2025-08-07,4141.933
2025-08-06,3897.9858
2025-08-05,3821.6353
2025-08-04,3934.7929
2025-08-03,3700.1884
2025-08-02,3589.341
2025-08-01,3690.3698
2025-07-31,3910.6276
2025-07-30,4028.4209
2025-07-29,4012.6671
2025-07-28,4006.1388
2025-07-27,4098.8803
2025-07-26,3957.1554
2025-07-25,3942.0633
2025-07-24,3921.5387
2025-07-23,3838.5748
2025-07-22,3964.7414
2025-07-21,3979.63
2025-07-20,3975.3482
2025-07-19,3801.5781
2025-07-18,3752.5248
2025-07-17,3676.0033
2025-07-16,3564.5483
2025-07-15,3319.5381
2025-07-14,3185.6364
2025-07-13,3143.2359
2025-07-12,3110.9341
2025-07-11,3126.6444
2025-07-10,3123.3022
2025-07-09,2928.6245
2025-07-08,2764.4024
2025-07-07,2687.6813
2025-07-06,2717.4082
2025-07-05,2660.2857
2025-07-04,2650.9287
2025-07-03,2737.9963
2025-07-02,2717.1048
2025-07-01,2542.081
2025-06-30,2627.2232
2025-06-29,2642.4403
2025-06-28,2574.8816
2025-06-27,2560.7953
2025-06-26,2552.5403
2025-06-25,2555.7838
2025-06-24,2586.0005
2025-06-23,2558.2373
2025-06-22,2353.6207
2025-06-21,2429.8697
2025-06-20,2542.5881
2025-06-19,2663.263
2025-06-18,2665.9562
2025-06-17,2651.5568
2025-06-16,2682.9696
2025-06-15,2689.4502
2025-06-14,2675.2103
2025-06-13,2723.7273
2025-06-12,2799.9653
2025-06-11,2928.3843
2025-06-10,2970.4878
